clima_id,municipio,fecha,temperatura_max_c,temperatura_min_c,precipitacion_mm,condicion,temporada
31,Manizales,2023-04-01,18.9,13.0,4.0,soleado,baja
32,Manizales,2023-04-04,19.6,11.8,4.5,soleado,baja
33,Manizales,2023-04-07,19.4,10.1,1.5,soleado,baja
34,Manizales,2023-04-10,19.6,13.9,4.0,nublado,baja
35,Manizales,2023-04-13,16.4,7.1,20.7,lluvioso,baja
36,Manizales,2023-04-16,16.1,9.5,47.5,lluvioso,baja
37,Manizales,2023-04-19,18.8,12.5,1.0,soleado,baja
38,Manizales,2023-04-22,15.9,9.5,14.1,lluvioso,baja
39,Manizales,2023-04-25,17.7,10.5,3.4,soleado,baja
40,Manizales,2023-04-28,17.0,7.9,0.1,nublado,baja
41,Manizales,2023-05-01,20.4,11.5,1.7,soleado,baja
42,Manizales,2023-05-04,18.6,11.6,3.2,soleado,baja
43,Manizales,2023-05-07,18.7,11.5,34.0,lluvioso,baja
44,Manizales,2023-05-10,15.4,7.2,3.3,nublado,baja
45,Manizales,2023-05-13,19.1,12.9,3.0,soleado,baja
46,Manizales,2023-05-16,15.3,8.4,23.3,lluvioso,baja
47,Manizales,2023-05-19,17.7,11.0,79.7,lluvioso,baja
48,Manizales,2023-05-22,20.8,12.6,16.2,lluvioso,baja
49,Manizales,2023-05-25,17.5,10.4,0.9,nublado,baja
50,Manizales,2023-05-28,16.8,6.9,0.0,nublado,baja
51,Manizales,2023-05-31,15.7,5.8,36.8,lluvioso,baja
52,Manizales,2023-06-03,19.6,13.4,3.7,soleado,alta
53,Manizales,2023-06-06,16.5,7.6,0.5,nublado,alta
54,Manizales,2023-06-09,18.0,12.2,3.0,nublado,alta
55,Manizales,2023-06-12,16.4,9.7,0.6,soleado,alta
56,Manizales,2023-06-15,16.4,8.9,1.7,soleado,alta
57,Manizales,2023-06-18,20.7,11.3,1.4,nublado,alta
58,Manizales,2023-06-21,18.4,10.6,3.9,soleado,alta
59,Manizales,2023-06-24,17.4,9.7,45.1,lluvioso,alta
60,Manizales,2023-06-27,18.2,9.6,3.4,soleado,alta
61,Manizales,2023-06-30,19.9,13.3,1.1,soleado,alta
62,Manizales,2023-07-03,16.3,6.5,0.8,soleado,alta
63,Manizales,2023-07-06,18.5,11.1,4.7,soleado,alta
64,Manizales,2023-07-09,15.8,6.3,3.0,soleado,alta
65,Manizales,2023-07-12,20.7,11.6,1.6,nublado,alta
66,Manizales,2023-07-15,17.9,10.4,0.6,nublado,alta
67,Manizales,2023-07-18,19.7,14.1,0.4,soleado,alta
68,Manizales,2023-07-21,20.3,13.9,75.6,lluvioso,alta
69,Manizales,2023-07-24,15.1,7.1,0.0,nublado,alta
70,Manizales,2023-07-27,18.4,12.4,37.1,lluvioso,alta
71,Manizales,2023-07-30,19.5,11.4,2.4,soleado,alta
72,Manizales,2023-08-02,16.0,10.6,2.2,soleado,media
73,Manizales,2023-08-05,16.1,7.6,1.3,nublado,media
74,Manizales,2023-08-08,16.4,10.2,54.3,lluvioso,media
75,Manizales,2023-08-11,18.9,9.7,0.9,soleado,media
76,Manizales,2023-08-14,17.4,9.1,4.0,nublado,media
77,Manizales,2023-08-17,17.9,12.0,2.6,soleado,media
78,Manizales,2023-08-20,16.5,10.8,4.8,soleado,media
79,Manizales,2023-08-23,18.5,10.1,65.3,lluvioso,media
80,Manizales,2023-08-26,16.9,7.7,3.1,soleado,media
81,Manizales,2023-08-29,15.4,10.2,1.0,soleado,media
82,Manizales,2023-09-01,18.9,11.4,28.6,lluvioso,media
83,Manizales,2023-09-04,15.8,6.5,0.7,soleado,media
84,Manizales,2023-09-07,19.9,11.8,3.3,soleado,media
85,Manizales,2023-09-10,20.7,15.0,2.0,nublado,media
86,Manizales,2023-09-13,20.7,11.7,3.3,soleado,media
87,Manizales,2023-09-16,20.6,14.3,1.4,soleado,media
88,Manizales,2023-09-19,18.0,11.1,4.1,nublado,media
89,Manizales,2023-09-22,20.3,13.0,25.9,lluvioso,media
90,Manizales,2023-09-25,20.9,13.7,0.5,nublado,media
91,Manizales,2023-09-28,19.5,11.2,0.2,soleado,media
92,Manizales,2023-10-01,15.2,7.7,0.5,nublado,baja
93,Manizales,2023-10-04,20.9,11.0,2.3,soleado,baja
94,Manizales,2023-10-07,17.1,10.0,64.9,tormenta,baja
95,Manizales,2023-10-10,15.4,8.3,68.1,lluvioso,baja
96,Manizales,2023-10-13,20.4,11.5,2.6,soleado,baja
97,Manizales,2023-10-16,19.0,13.9,4.9,soleado,baja
98,Manizales,2023-10-19,15.4,5.6,1.3,soleado,baja
99,Manizales,2023-10-22,16.9,11.3,4.5,soleado,baja
100,Manizales,2023-10-25,17.9,8.3,0.6,soleado,baja
101,Manizales,2023-10-28,15.9,10.7,53.2,lluvioso,baja
102,Manizales,2023-10-31,15.6,8.7,3.0,soleado,baja
103,Manizales,2023-11-03,16.0,9.6,1.9,soleado,baja
104,Manizales,2023-11-06,18.0,12.9,57.3,tormenta,baja
105,Manizales,2023-11-09,16.9,7.5,57.0,tormenta,baja
106,Manizales,2023-11-12,18.8,12.7,2.7,soleado,baja
107,Manizales,2023-11-15,18.3,12.4,62.4,tormenta,baja
108,Manizales,2023-11-18,19.5,13.2,1.6,soleado,baja
109,Manizales,2023-11-21,15.6,7.2,61.0,lluvioso,baja
110,Manizales,2023-11-24,17.9,12.1,4.8,soleado,baja
111,Manizales,2023-11-27,19.5,10.8,2.1,soleado,baja
112,Manizales,2023-11-30,15.9,10.4,17.4,lluvioso,baja
113,Manizales,2023-12-03,17.6,11.8,4.4,soleado,alta
114,Manizales,2023-12-06,19.5,10.1,66.8,lluvioso,alta
115,Manizales,2023-12-09,20.3,12.0,1.0,soleado,alta
116,Manizales,2023-12-12,19.9,11.8,3.7,soleado,alta
117,Manizales,2023-12-15,18.2,10.6,1.9,nublado,alta
118,Manizales,2023-12-18,20.0,14.9,4.2,nublado,alta
119,Manizales,2023-12-21,19.1,10.3,3.8,nublado,alta
120,Manizales,2023-12-24,18.0,12.4,2.4,nublado,alta
121,Manizales,2023-12-27,19.7,13.6,3.2,soleado,alta
122,Manizales,2023-12-30,15.0,9.1,3.3,soleado,alta
123,Manizales,2024-01-02,16.1,9.2,0.8,soleado,alta
124,Manizales,2024-01-05,18.1,9.5,4.4,soleado,alta
125,Manizales,2024-01-08,19.2,13.9,1.1,soleado,alta
126,Manizales,2024-01-11,18.6,13.5,52.0,lluvioso,alta
127,Manizales,2024-01-14,15.9,7.4,3.2,soleado,alta
128,Manizales,2024-01-17,16.3,7.2,4.9,nublado,alta
129,Manizales,2024-01-20,15.7,7.0,1.9,soleado,alta
130,Manizales,2024-01-23,15.4,6.4,1.9,soleado,alta
131,Manizales,2024-01-26,16.8,10.9,3.7,nublado,alta
132,Manizales,2024-01-29,16.1,7.7,44.7,lluvioso,alta
133,Manizales,2024-02-01,19.4,9.6,3.7,nublado,media
134,Manizales,2024-02-04,20.9,15.1,2.8,soleado,media
135,Manizales,2024-02-07,18.5,10.0,2.9,nublado,media
136,Manizales,2024-02-10,15.3,6.0,3.9,nublado,media
137,Manizales,2024-02-13,17.8,10.4,1.9,soleado,media
138,Manizales,2024-02-16,19.2,11.0,4.7,soleado,media
139,Manizales,2024-02-19,20.5,11.6,4.5,soleado,media
140,Manizales,2024-02-22,16.4,10.7,0.3,soleado,media
141,Manizales,2024-02-25,17.8,12.7,4.6,soleado,media
142,Manizales,2024-02-28,15.2,8.8,0.2,soleado,media
143,Manizales,2024-03-02,20.8,13.9,3.9,soleado,media
144,Manizales,2024-03-05,16.6,10.8,4.2,soleado,media
145,Manizales,2024-03-08,18.7,10.9,0.2,nublado,media
146,Manizales,2024-03-11,19.6,14.2,1.6,soleado,media
147,Manizales,2024-03-14,18.3,12.7,3.7,soleado,media
148,Manizales,2024-03-17,20.0,11.1,2.0,nublado,media
149,Manizales,2024-03-20,20.9,15.2,44.6,lluvioso,media
150,Manizales,2024-03-23,17.0,10.5,1.0,nublado,media
151,Manizales,2024-03-26,16.1,11.0,4.8,nublado,media
152,Manizales,2024-03-29,15.5,7.1,2.1,nublado,media
153,Manizales,2024-04-01,16.4,9.4,78.6,lluvioso,baja
154,Manizales,2024-04-04,18.3,10.2,65.4,lluvioso,baja
155,Manizales,2024-04-07,17.6,11.9,4.2,soleado,baja
156,Manizales,2024-04-10,15.6,6.3,1.1,nublado,baja
157,Manizales,2024-04-13,16.7,7.8,62.4,lluvioso,baja
158,Manizales,2024-04-16,20.9,11.9,1.8,soleado,baja
159,Manizales,2024-04-19,20.2,12.5,33.8,lluvioso,baja
160,Manizales,2024-04-22,15.1,9.5,3.8,nublado,baja
161,Manizales,2024-04-25,16.5,6.8,0.8,nublado,baja
162,Manizales,2024-04-28,18.3,10.5,62.6,lluvioso,baja
163,Manizales,2024-05-01,16.7,9.7,1.7,soleado,baja
164,Manizales,2024-05-04,17.7,10.7,1.9,nublado,baja
165,Manizales,2024-05-07,16.2,10.3,2.2,soleado,baja
166,Manizales,2024-05-10,19.5,13.1,1.8,soleado,baja
167,Manizales,2024-05-13,16.2,6.7,3.2,soleado,baja
168,Manizales,2024-05-16,18.3,12.5,2.2,soleado,baja
169,Manizales,2024-05-19,20.4,14.6,35.4,lluvioso,baja
170,Manizales,2024-05-22,15.2,8.4,51.9,lluvioso,baja
171,Manizales,2024-05-25,16.9,7.9,4.1,nublado,baja
172,Manizales,2024-05-28,15.7,7.0,70.0,tormenta,baja
173,Manizales,2024-05-31,17.9,12.3,4.9,soleado,baja
174,Manizales,2024-06-03,21.0,11.1,1.6,nublado,alta
175,Manizales,2024-06-06,19.1,13.6,0.6,nublado,alta
176,Manizales,2024-06-09,16.3,9.4,4.1,soleado,alta
177,Manizales,2024-06-12,16.8,7.2,33.6,tormenta,alta
178,Manizales,2024-06-15,20.9,11.4,3.8,soleado,alta
179,Manizales,2024-06-18,16.5,7.4,1.6,nublado,alta
180,Manizales,2024-06-21,16.5,10.9,2.6,nublado,alta
181,Manizales,2024-06-24,17.5,8.0,3.6,soleado,alta
182,Manizales,2024-06-27,18.7,11.5,1.0,nublado,alta
183,Manizales,2024-06-30,19.8,10.6,3.7,soleado,alta
184,Manizales,2024-07-03,19.4,13.9,0.2,soleado,alta
185,Manizales,2024-07-06,19.1,13.3,0.0,soleado,alta
186,Manizales,2024-07-09,15.4,10.0,5.0,nublado,alta
187,Manizales,2024-07-12,16.3,9.5,4.3,soleado,alta
188,Manizales,2024-07-15,17.4,8.6,3.8,soleado,alta
189,Manizales,2024-07-18,19.8,14.5,26.3,tormenta,alta
190,Manizales,2024-07-21,20.2,15.2,3.3,nublado,alta
191,Manizales,2024-07-24,17.3,11.2,1.9,soleado,alta
192,Manizales,2024-07-27,17.5,8.5,19.0,lluvioso,alta
193,Manizales,2024-07-30,17.5,12.4,11.3,lluvioso,alta
194,Manizales,2024-08-02,19.2,9.3,0.6,nublado,media
195,Manizales,2024-08-05,20.0,10.1,3.5,nublado,media
196,Manizales,2024-08-08,18.8,11.1,2.8,soleado,media
197,Manizales,2024-08-11,16.3,10.7,2.2,soleado,media
198,Manizales,2024-08-14,15.3,7.5,1.3,soleado,media
199,Manizales,2024-08-17,15.4,9.3,4.1,soleado,media
200,Manizales,2024-08-20,15.4,6.0,3.0,nublado,media
201,Manizales,2024-08-23,17.0,7.1,1.7,nublado,media
202,Manizales,2024-08-26,20.0,13.6,2.7,soleado,media
203,Manizales,2024-08-29,19.7,11.8,1.3,soleado,media
204,Manizales,2024-09-01,16.3,8.9,1.3,nublado,media
205,Manizales,2024-09-04,15.2,5.9,2.6,nublado,media
206,Manizales,2024-09-07,15.2,6.7,4.8,soleado,media
207,Manizales,2024-09-10,17.8,12.1,4.6,soleado,media
208,Manizales,2024-09-13,16.0,6.3,0.8,soleado,media
209,Manizales,2024-09-16,18.8,10.4,3.9,soleado,media
210,Manizales,2024-09-19,19.7,9.8,1.2,soleado,media
211,Manizales,2024-09-22,17.8,7.9,1.4,soleado,media
212,Manizales,2024-09-25,20.3,15.3,2.0,soleado,media
213,Manizales,2024-09-28,20.4,14.2,3.0,soleado,media
214,Manizales,2024-10-01,17.8,9.7,41.5,lluvioso,baja
215,Manizales,2024-10-04,17.8,9.8,2.2,soleado,baja
216,Manizales,2024-10-07,15.3,6.1,4.3,soleado,baja
217,Manizales,2024-10-10,17.8,10.6,1.4,nublado,baja
218,Manizales,2024-10-13,15.3,8.9,2.0,soleado,baja
219,Manizales,2024-10-16,19.9,12.2,1.4,nublado,baja
220,Manizales,2024-10-19,15.2,6.8,2.9,nublado,baja
221,Manizales,2024-10-22,20.6,14.8,2.3,soleado,baja
222,Manizales,2024-10-25,20.3,11.9,61.1,lluvioso,baja
223,Manizales,2024-10-28,16.8,8.2,3.4,soleado,baja
224,Manizales,2024-10-31,20.2,15.2,3.6,nublado,baja
225,Manizales,2024-11-03,15.2,5.8,4.1,nublado,baja
226,Manizales,2024-11-06,19.8,11.5,3.3,soleado,baja
227,Manizales,2024-11-09,18.3,8.8,3.0,soleado,baja
228,Manizales,2024-11-12,19.5,12.4,1.6,soleado,baja
229,Manizales,2024-11-15,20.3,12.3,55.3,lluvioso,baja
230,Manizales,2024-11-18,15.7,9.9,0.7,soleado,baja
231,Manizales,2024-11-21,19.4,11.8,3.2,soleado,baja
232,Manizales,2024-11-24,19.9,11.4,5.0,nublado,baja
233,Manizales,2024-11-27,15.5,8.5,41.4,lluvioso,baja
234,Manizales,2024-11-30,16.3,9.0,4.0,nublado,baja
235,Manizales,2024-12-03,17.3,8.0,0.3,nublado,alta
236,Manizales,2024-12-06,18.3,9.0,15.4,lluvioso,alta
237,Manizales,2024-12-09,17.3,10.0,1.1,soleado,alta
238,Manizales,2024-12-12,15.6,6.2,63.2,lluvioso,alta
239,Manizales,2024-12-15,15.2,8.2,1.9,soleado,alta
240,Manizales,2024-12-18,16.0,7.8,2.6,soleado,alta
241,Manizales,2024-12-21,20.7,14.0,3.8,soleado,alta
242,Manizales,2024-12-24,15.0,8.1,1.9,soleado,alta
243,Manizales,2024-12-27,15.6,6.4,3.0,nublado,alta
244,Manizales,2024-12-30,18.5,10.7,4.2,soleado,alta
245,Villamaría,2023-01-01,15.8,9.7,0.8,soleado,alta
246,Villamaría,2023-01-04,10.8,5.3,2.7,nublado,alta
247,Villamaría,2023-01-07,12.5,5.5,4.6,soleado,alta
248,Villamaría,2023-01-10,12.9,7.2,0.7,soleado,alta
249,Villamaría,2023-01-13,12.2,4.8,1.9,nublado,alta
250,Villamaría,2023-01-16,13.3,7.9,79.6,lluvioso,alta
251,Villamaría,2023-01-19,10.2,0.3,20.6,lluvioso,alta
252,Villamaría,2023-01-22,12.9,5.2,4.9,nublado,alta
253,Villamaría,2023-01-25,15.0,8.2,1.2,soleado,alta
254,Villamaría,2023-01-28,11.1,3.6,3.5,nublado,alta
255,Villamaría,2023-01-31,15.0,7.3,1.2,nublado,alta
256,Villamaría,2023-02-03,16.0,10.2,2.9,soleado,media
257,Villamaría,2023-02-06,14.7,6.0,1.0,nublado,media
258,Villamaría,2023-02-09,14.8,7.5,1.6,soleado,media
259,Villamaría,2023-02-12,15.1,6.5,0.7,nublado,media
260,Villamaría,2023-02-15,13.6,5.6,0.7,nublado,media
261,Villamaría,2023-02-18,10.2,1.5,2.3,soleado,media
262,Villamaría,2023-02-21,14.1,6.8,0.3,soleado,media
263,Villamaría,2023-02-24,15.7,8.1,4.8,soleado,media
264,Villamaría,2023-02-27,13.0,6.5,3.8,soleado,media
265,Villamaría,2023-03-02,13.4,6.2,2.6,soleado,media
266,Villamaría,2023-03-05,12.2,3.6,4.6,soleado,media
267,Villamaría,2023-03-08,12.7,4.7,2.3,nublado,media
268,Villamaría,2023-03-11,12.9,2.9,4.0,soleado,media
269,Villamaría,2023-03-14,13.8,7.3,0.0,soleado,media
270,Villamaría,2023-03-17,11.5,6.3,1.6,soleado,media
271,Villamaría,2023-03-20,14.4,5.6,1.1,nublado,media
272,Villamaría,2023-03-23,15.2,7.6,12.1,tormenta,media
273,Villamaría,2023-03-26,14.9,8.2,3.2,soleado,media
274,Villamaría,2023-03-29,14.8,4.8,2.6,nublado,media
275,Villamaría,2023-04-01,10.5,5.5,5.0,soleado,baja
276,Villamaría,2023-04-04,13.8,8.5,1.7,soleado,baja
277,Villamaría,2023-04-07,14.9,5.9,4.7,soleado,baja
278,Villamaría,2023-04-10,10.6,3.6,3.5,nublado,baja
279,Villamaría,2023-04-13,14.1,9.0,1.4,nublado,baja
280,Villamaría,2023-04-16,13.8,5.9,2.7,soleado,baja
281,Villamaría,2023-04-19,10.6,1.3,0.0,nublado,baja
282,Villamaría,2023-04-22,15.1,8.9,0.6,nublado,baja
283,Villamaría,2023-04-25,14.3,6.0,20.2,lluvioso,baja
284,Villamaría,2023-04-28,12.4,5.9,4.3,soleado,baja
285,Villamaría,2023-05-01,10.1,2.2,1.3,soleado,baja
286,Villamaría,2023-05-04,11.3,6.1,2.7,nublado,baja
287,Villamaría,2023-05-07,14.6,8.7,2.1,soleado,baja
288,Villamaría,2023-05-10,12.7,3.6,4.3,nublado,baja
289,Villamaría,2023-05-13,13.2,5.9,54.6,lluvioso,baja
290,Villamaría,2023-05-16,11.7,3.9,1.5,soleado,baja
291,Villamaría,2023-05-19,14.3,7.3,4.6,soleado,baja
292,Villamaría,2023-05-22,14.9,6.3,4.4,soleado,baja
293,Villamaría,2023-05-25,10.6,4.7,2.0,soleado,baja
294,Villamaría,2023-05-28,13.6,4.1,3.6,nublado,baja
295,Villamaría,2023-05-31,12.0,2.3,2.3,soleado,baja
296,Villamaría,2023-06-03,15.0,9.4,4.7,soleado,alta
297,Villamaría,2023-06-06,13.4,3.9,4.3,soleado,alta
298,Villamaría,2023-06-09,12.3,2.6,39.6,tormenta,alta
299,Villamaría,2023-06-12,10.3,2.5,0.6,nublado,alta
300,Villamaría,2023-06-15,14.1,8.4,4.2,nublado,alta
301,Villamaría,2023-06-18,11.1,4.7,4.4,soleado,alta
302,Villamaría,2023-06-21,15.7,9.4,3.4,soleado,alta
303,Villamaría,2023-06-24,16.0,10.5,3.2,soleado,alta
304,Villamaría,2023-06-27,15.2,7.8,1.9,soleado,alta
305,Villamaría,2023-06-30,14.6,9.6,3.2,soleado,alta
306,Villamaría,2023-07-03,13.3,6.2,0.9,nublado,alta
307,Villamaría,2023-07-06,15.2,6.5,1.9,nublado,alta
308,Villamaría,2023-07-09,14.5,9.3,4.0,soleado,alta
309,Villamaría,2023-07-12,10.8,2.1,4.7,soleado,alta
310,Villamaría,2023-07-15,14.1,6.8,0.3,nublado,alta
311,Villamaría,2023-07-18,10.3,2.0,0.4,soleado,alta
312,Villamaría,2023-07-21,13.3,7.8,3.9,nublado,alta
313,Villamaría,2023-07-24,15.5,6.3,1.2,nublado,alta
314,Villamaría,2023-07-27,10.2,1.5,4.7,nublado,alta
315,Villamaría,2023-07-30,11.6,3.0,4.5,soleado,alta
316,Villamaría,2023-08-02,12.4,3.6,0.2,nublado,media
317,Villamaría,2023-08-05,11.3,5.6,1.3,soleado,media
318,Villamaría,2023-08-08,10.5,3.6,2.9,nublado,media
319,Villamaría,2023-08-11,12.6,5.9,22.7,lluvioso,media
320,Villamaría,2023-08-14,11.3,3.1,3.7,soleado,media
321,Villamaría,2023-08-17,14.0,6.3,2.8,soleado,media
322,Villamaría,2023-08-20,13.3,4.2,3.4,nublado,media
323,Villamaría,2023-08-23,11.2,5.4,1.5,soleado,media
324,Villamaría,2023-08-26,15.6,7.6,3.6,nublado,media
325,Villamaría,2023-08-29,14.0,6.1,14.2,lluvioso,media
326,Villamaría,2023-09-01,13.2,4.9,1.2,nublado,media
327,Villamaría,2023-09-04,14.7,8.7,49.3,lluvioso,media
328,Villamaría,2023-09-07,15.4,6.2,3.1,nublado,media
329,Villamaría,2023-09-10,15.9,8.3,1.4,soleado,media
330,Villamaría,2023-09-13,13.9,4.9,0.8,nublado,media
331,Villamaría,2023-09-16,14.3,6.6,1.7,nublado,media
332,Villamaría,2023-09-19,14.1,4.4,3.4,soleado,media
333,Villamaría,2023-09-22,10.3,3.2,1.2,soleado,media
334,Villamaría,2023-09-25,12.1,2.4,3.8,soleado,media
335,Villamaría,2023-09-28,15.6,6.8,3.1,nublado,media
336,Villamaría,2023-10-01,12.8,5.0,0.9,soleado,baja
337,Villamaría,2023-10-04,15.4,7.0,2.4,nublado,baja
338,Villamaría,2023-10-07,13.2,6.2,5.0,soleado,baja
339,Villamaría,2023-10-10,13.8,6.3,0.5,nublado,baja
340,Villamaría,2023-10-13,13.1,7.0,76.7,lluvioso,baja
341,Villamaría,2023-10-16,11.1,5.0,4.6,soleado,baja
342,Villamaría,2023-10-19,15.0,6.3,0.1,soleado,baja
343,Villamaría,2023-10-22,12.4,2.6,58.9,lluvioso,baja
344,Villamaría,2023-10-25,15.1,6.2,37.5,tormenta,baja
345,Villamaría,2023-10-28,12.7,3.8,1.2,soleado,baja
346,Villamaría,2023-10-31,15.1,7.1,3.8,nublado,baja
347,Villamaría,2023-11-03,12.3,4.5,3.9,nublado,baja
348,Villamaría,2023-11-06,14.8,8.9,0.2,nublado,baja
349,Villamaría,2023-11-09,11.5,5.3,66.6,lluvioso,baja
350,Villamaría,2023-11-12,10.0,0.5,72.6,lluvioso,baja
351,Villamaría,2023-11-15,15.7,8.2,5.0,soleado,baja
352,Villamaría,2023-11-18,13.8,8.3,43.7,lluvioso,baja
353,Villamaría,2023-11-21,12.7,6.3,0.3,soleado,baja
354,Villamaría,2023-11-24,12.3,4.4,79.5,lluvioso,baja
355,Villamaría,2023-11-27,15.4,6.0,4.2,soleado,baja
356,Villamaría,2023-11-30,15.0,6.2,11.9,tormenta,baja
357,Villamaría,2023-12-03,10.9,2.5,4.8,soleado,alta
358,Villamaría,2023-12-06,14.3,6.5,2.2,soleado,alta
359,Villamaría,2023-12-09,15.0,9.3,32.8,lluvioso,alta
360,Villamaría,2023-12-12,15.1,8.1,4.5,soleado,alta
361,Villamaría,2023-12-15,15.3,7.6,4.1,nublado,alta
362,Villamaría,2023-12-18,11.8,3.8,1.3,soleado,alta
363,Villamaría,2023-12-21,12.2,5.7,3.2,soleado,alta
364,Villamaría,2023-12-24,10.6,1.5,2.3,nublado,alta
365,Villamaría,2023-12-27,14.6,7.8,3.6,soleado,alta
366,Villamaría,2023-12-30,12.8,7.6,2.6,nublado,alta
367,Villamaría,2024-01-02,12.4,4.7,4.7,soleado,alta
368,Villamaría,2024-01-05,10.4,3.6,3.0,soleado,alta
369,Villamaría,2024-01-08,11.2,6.1,1.0,nublado,alta
370,Villamaría,2024-01-11,10.3,4.3,4.4,soleado,alta
371,Villamaría,2024-01-14,13.8,6.7,3.7,soleado,alta
372,Villamaría,2024-01-17,15.4,6.3,3.0,nublado,alta
373,Villamaría,2024-01-20,10.8,4.1,1.4,soleado,alta
374,Villamaría,2024-01-23,11.3,2.5,2.0,nublado,alta
375,Villamaría,2024-01-26,12.3,5.2,0.7,soleado,alta
376,Villamaría,2024-01-29,11.6,4.0,0.1,nublado,alta
377,Villamaría,2024-02-01,12.9,6.1,3.1,soleado,media
378,Villamaría,2024-02-04,10.8,3.0,54.3,tormenta,media
379,Villamaría,2024-02-07,11.0,1.1,3.5,nublado,media
380,Villamaría,2024-02-10,11.1,5.6,0.8,soleado,media
381,Villamaría,2024-02-13,10.8,1.5,0.6,nublado,media
382,Villamaría,2024-02-16,10.3,4.6,0.2,soleado,media
383,Villamaría,2024-02-19,10.9,5.3,3.3,soleado,media
384,Villamaría,2024-02-22,12.6,4.9,3.4,nublado,media
385,Villamaría,2024-02-25,13.0,6.1,2.4,soleado,media
386,Villamaría,2024-02-28,14.7,9.1,11.1,tormenta,media
387,Villamaría,2024-03-02,15.1,9.6,3.1,nublado,media
388,Villamaría,2024-03-05,14.2,6.5,2.5,soleado,media
389,Villamaría,2024-03-08,11.9,4.5,2.1,soleado,media
390,Villamaría,2024-03-11,14.3,4.5,4.8,soleado,media
391,Villamaría,2024-03-14,14.9,6.5,4.4,soleado,media
392,Villamaría,2024-03-17,14.9,7.4,1.6,soleado,media
393,Villamaría,2024-03-20,15.6,6.3,1.6,soleado,media
394,Villamaría,2024-03-23,11.5,5.7,3.1,nublado,media
395,Villamaría,2024-03-26,12.3,6.3,0.1,soleado,media
396,Villamaría,2024-03-29,12.6,3.2,75.4,lluvioso,media
397,Villamaría,2024-04-01,12.1,6.7,27.3,lluvioso,baja
398,Villamaría,2024-04-04,10.4,4.4,3.4,soleado,baja
399,Villamaría,2024-04-07,14.7,6.0,4.9,soleado,baja
400,Villamaría,2024-04-10,14.7,6.7,3.9,soleado,baja
401,Villamaría,2024-04-13,15.6,6.0,32.8,tormenta,baja
402,Villamaría,2024-04-16,15.9,10.4,2.3,soleado,baja
403,Villamaría,2024-04-19,13.3,7.4,78.5,lluvioso,baja
404,Villamaría,2024-04-22,13.1,7.7,1.0,soleado,baja
405,Villamaría,2024-04-25,14.4,6.2,2.6,soleado,baja
406,Villamaría,2024-04-28,10.9,2.9,58.3,lluvioso,baja
407,Villamaría,2024-05-01,10.4,3.2,4.6,soleado,baja
408,Villamaría,2024-05-04,10.6,2.8,2.3,nublado,baja
409,Villamaría,2024-05-07,12.2,4.4,59.3,lluvioso,baja
410,Villamaría,2024-05-10,13.5,5.9,57.0,lluvioso,baja
411,Villamaría,2024-05-13,11.0,5.4,0.0,soleado,baja
412,Villamaría,2024-05-16,11.3,1.6,3.1,soleado,baja
413,Villamaría,2024-05-19,13.8,6.9,3.9,soleado,baja
414,Villamaría,2024-05-22,12.3,2.6,3.1,soleado,baja
415,Villamaría,2024-05-25,11.3,2.7,75.8,lluvioso,baja
